Key,Id,Portuguese(pt),English(en),Spanish(es)
Costumer0_0,0,Pedro{} Bom dia! Trouxe uma foto para ampliar. Quero dar de presente para minha mãe.,Pedro{} Good morning! I brought a photo to enlarge. I want to give it as a gift to my mother.,Pedro{} ¡Buenos días! Traje una foto para ampliar. Quiero regalárselo a mi madre.
Costumer0_1,1,"Ana{} Bom dia, qual seria o tamanho?","Ana{} Good morning, what size would it be?","Ana{} Buenos días, ¿qué talla sería?"
Costumer0_2,2,"Pedro{} Bem, acho que pode ser uma 10x15.","Pedro{} Well, I think it could be a 10x15.","Pedro{} Bueno, creo que podría ser un 10x15."
Costumer0_3,3,"Ana{} Está bem, pode retornar mais tarde para buscar.","Ana{} Okay, you can come back later to pick it up.","Ana{} Está bien, puedes volver más tarde a recogerlo."
Costumer0_4,4,"Pedro{} Muito obrigado, minha mãe vai amar, ela adora essa vista, faz ela se lembrar de sua juventude.","Pedro{} Thank you very much, my mother will love it, she loves this view, it reminds her of her youth.","Pedro{} Muchas gracias, a mi madre le encantará, le encanta esta vista, le recuerda su juventud."
Costumer0_5,5,Ana{} De nada. Volte sempre!,Ana{} You're welcome. Check back often!,Ana{} De nada. ¡Vuelva siempre!
Costumer1_0,6,"Laura{} Olá Ana, como vão as coisas?","Laura{} Hi Ana, how are things?","Laura{} Hola Ana, ¿cómo van las cosas?"
Costumer1_1,7,Ana{} Vão indo bem…,Ana{} They're doing well...,Ana{} Están bien...
Costumer1_2,8,Laura{} É muito bom ver você dando conta de continuar a loja do seu pai. É uma pena ele ter morrido tão cedo.,Laura{} It's great to see you managing to continue your father's store. It's a shame he died so soon.,Laura{} Es genial ver que logras continuar con la tienda de tu padre. Es una pena que haya muerto tan pronto.
Costumer1_3,9,"Ana{} Sim, eu sinto a falta dele, as coisas seriam mais fáceis se ele ainda estivesse aqui...","Ana{} Yes, I miss him, things would be easier if he was still here...","Ana{} Sí, lo extraño, las cosas serían más fáciles si él todavía estuviera aquí..."
Costumer1_4,10,Ana{} Mas vamos ao que te trouxe aqui.,Ana{} But let's get to what brought you here.,Ana{} Pero vayamos a lo que te trajo aquí.
Costumer1_5,11,"Laura{} Claro, eu trouxe uma foto para ampliar.","Laura{} Of course, I brought a photo to enlarge.","Laura{} Por supuesto, traje una foto para ampliar."
Costumer1_6,12,"Laura{} Hoje em dia todo mundo só quer saber de retrato colorido, mas eu ainda prefiro em preto e branco,","Laura{} Nowadays everyone only cares about color portraits, but I still prefer them in black and white,","Laura{} Hoy en día a todo el mundo sólo le importan los retratos en color, pero yo sigo prefiriendolos en blanco y negro,"
Costumer1_7,13,Laura{} ainda bem que temos você aqui pra revelar.,Laura{} I'm glad we have you here to reveal it.,Laura{} Me alegra tenerte aquí para revelarlo.
Costumer1_8,14,Laura{} Acredita que a fototica da cidade vizinha só está revelando e ampliando rolos coloridos?,Laura{} Do you believe that the photo shop in the neighboring city is only revealing and enlarging colored rolls?,Laura{} ¿Crees que el taller de fotografía de la ciudad vecina sólo muestra y amplía rollos de colores?
Costumer1_9,15,"Laura{} Vai ser está aqui, gostaria de uma cópia de 15x21.","Laura{} It will be here, I would like a 15x21 copy.","Laura{} Estará aquí, me gustaría una copia de 15x21."
Costumer1_10,16,"Ana{} Pode deixar, não tenho outras fotos na fila, então só passar na loja hoje mais tarde que já estará pronta.","Ana{} You can leave it, I don't have any other photos in the queue, so just stop by the store later today and it will be ready.","Ana{} Puedes dejarlo, no tengo otras fotos en la cola, así que pásate por la tienda más tarde hoy y estará listo."
Costumer1_11,17,Ana{} Aqui está!,Ana{} Here it is!,Ana{} ¡Aquí está!
Costumer1_12,18,"Laura{} Obrigado, vou colocar numa moldura e deixar na sala de estar.","Laura{} Thanks, I'll put it in a frame and leave it in the living room.","Laura{} Gracias, lo pondré en un marco y lo dejaré en la sala."
Costumer2_0,19,"Mauro{} Nossa, que bom que vocês ainda não fecharam!","Mauro{} Wow, I'm glad you haven't closed yet!","Mauro{} ¡Vaya, me alegro que aún no hayas cerrado!"
Costumer2_1,20,"Mauro{} Eu vim correndo, porque não tinha certeza que horas a loja fechava.","Mauro{} I came running, because I wasn't sure what time the store closed.","Mauro{} Vine corriendo, porque no estaba seguro de a qué hora cerraba la tienda."
Costumer2_2,21,Mauro{} Você devia incluir o horário de funcionamento no anúncio do jornal!,Mauro{} You should include opening hours in the newspaper ad!,Mauro{} ¡Deberías incluir los horarios de apertura en el anuncio del periódico!
Costumer2_3,22,Ana{} Você veio pelo anúncio no jornal? Finalmente está dando algum resultado…,Ana{} Did you come because of the ad in the newspaper? It’s finally giving some results…,Ana{} ¿Viniste por el anuncio en el periódico? Finalmente está dando algunos resultados...
Costumer2_4,23,"Mauro{} Bem, na verdade eu trabalho no jornal. Me chamo Mauro, sou jornalista e fotógrafo do Informes Populares.","Mauro{} Well, actually I work at the newspaper. My name is Mauro, I'm a journalist and photographer for Informes Populares.","Mauro{} Bueno, en realidad trabajo en el periódico. Mi nombre es Mauro, soy periodista y fotógrafo de Informes Populares."
Costumer2_5,24,"Mauro{} Preciso muito da sua ajuda, o ampliador do jornal quebrou, e preciso ampliar essa foto para a notícia de capa de amanhã!","Mauro{} I really need your help, the newspaper's enlarger broke, and I need to enlarge this photo for tomorrow's cover story!","Mauro{} Realmente necesito tu ayuda, se rompió la ampliadora del periódico y necesito ampliar esta foto para la portada de mañana."
Costumer2_6,25,"Ana{} Se é tão urgente não podemos perder mais tempo, me passe o negativo, vamos ver o que eu consigo fazer.","Ana{} If it's so urgent we can't waste any more time, give me the negative, let's see what I can do.","Ana{} Si es tan urgente que no podemos perder más tiempo, dame la negativa, a ver qué puedo hacer."
Costumer2_7,26,"Mauro{} Voltei, Ana. Espero que tenha conseguido uma boa ampliação.","Mauro{} I'm back, Ana. I hope you got a good enlargement.",Mauro{} Ya estoy de vuelta Ana. Espero que tengas una buena ampliación.
Costumer2_8,27,"Mauro{} Trouxe o Capitão Guedes para dar uma olhada na foto, como você deve ter visto, é a cena de um crime.","Mauro{} I brought Captain Guedes to take a look at the photo, as you may have seen, it is the scene of a crime.","Mauro{} Traje al Capitán Guedes para que viera la foto, como habrás visto, es la escena de un crimen."
